N / processors,1,2,3,4
10000000,4.70502,2.06978,1.38687,1.42332
20000000,13.41,6.63819,4.39252,3.44187
50000000,33.4362,17.3604,11.5321,8.68355
70000000,44.8221,24.2159,16.0669,11.9643
